"",BBEE1.M.I8.AAA.XZE012.A.AABAN.M00,BBEE1.M.I8.AAA.XZE012.A.AABAN.M00_FLAGS,BBEE1.M.I8.AAA.XZE012.S.AACPE.M00,BBEE1.M.I8.AAA.XZE012.S.AACPE.M00_FLAGS,BBEE1.M.I8.AAA.XZE022.A.AABAN.M00,BBEE1.M.I8.AAA.XZE022.A.AABAN.M00_FLAGS,BBEE1.M.I8.AAA.XZE022.S.AACPE.M00,BBEE1.M.I8.AAA.XZE022.S.AACPE.M00_FLAGS
2013-06,101.9503,,99.8143,,112.0461,,96.8146,
2013-07,101.8780,,99.7143,,112.0404,,96.7272,
2013-08,102.6043,,100.3426,,113.5070,,97.8859,
2013-09,102.3565,,99.9854,,113.4276,,97.6542,
2013-10,103.2871,,100.6835,,114.3705,,98.1578,
2013-11,102.9753,,100.2970,,114.2205,,97.8831,
2013-12,104.0991,,101.4249,,115.7473,,99.2001,
2014-01,103.6612,,100.8866,,115.7565,,99.0164,
2014-02,103.8031,,101.0483,,116.2172,,99.3579,
2014-03,104.8775,,101.9218,,117.4263,,100.1097,
2014-04,104.7333,,101.6838,,117.0353,,99.5801,
2014-05,104.0668,,100.7793,,116.0718,,98.4563,
2014-06,103.2015,,99.9091,,115.1387,,97.5818,
2014-07,102.7641,,99.3636,,114.6434,,96.9669,
2014-08,102.0568,,98.7327,,114.0346,,96.4432,
2014-09,100.4175,,97.1626,,112.2882,,94.9464,
2014-10,99.5898,,96.2583,,111.6989,,94.2277,
2014-11,99.3685,,96.0920,,111.7773,,94.2350,
2014-12,99.3483,,95.9039,,112.6954,,94.6984,
2015-01,95.4886,,92.2051,,108.4556,,90.9853,
2015-02,93.5622,,90.6217,,106.6876,,89.6501,
2015-03,90.8724,,87.9871,,103.4915,,86.8081,
2015-04,89.9915,,87.2061,,102.1452,,85.6133,
2015-05,91.7330,,88.8530,,104.3057,,87.3636,
2015-06,92.4507,,89.4785,,105.5496,,88.3053,
2015-07,91.4749,,88.3615,,104.5928,,87.2908,
2015-08,93.0808,,89.8453,,107.4424,,89.5283,
2015-09,93.9514,,90.7418,,109.0378,,90.8255,
2015-10,93.8147,,90.6567,,108.4979,,90.3457,
2015-11,91.2588,,88.1813,,105.3528,,87.6504,
2015-12,92.6262,,89.3339,,107.4025,,89.0988,
2016-01,93.7604,,90.2328,,109.2154,,90.2576,
2016-02,94.9540,,91.1956,,110.7079,,91.2564,
2016-03,94.3576,,90.6621,,109.5104,,90.2945,
2016-04,95.2061,,91.3674,,110.2896,,90.7539,
2016-05,95.3655,,91.6917,,110.6349,,91.1491,
2016-06,95.0971,,91.4137,,110.1677,,90.7024,
2016-07,95.3814,,91.6490,,109.9744,,90.4342,
2016-08,95.7789,,91.9788,,110.5116,,90.8392,
2016-09,95.9108,,92.1124,,110.7373,,91.0285,
2016-10,96.0804,,92.3189,,110.5286,,90.8380,
2016-11,95.3901,,91.5770,,109.9871,,90.2908,
2016-12,94.4322,,90.7587,,108.7762,,89.3664,
2017-01,94.6583,,91.0073,,109.1943,,89.6560,
2017-02,94.1983,,90.7049,,108.4069,,89.0684,
2017-03,94.7506,,91.0419,,108.8277,,89.1816,
2017-04,94.4845,,90.7369,,108.4613,,88.8221,
2017-05,96.3103,,92.3296,,110.7442,,90.5155,
2017-06,97.1362,,93.0474,,111.7710,,91.2556,
2017-07,98.4466,,94.2712,,113.6502,,92.7317,
2017-08,99.9826,,95.7299,,115.5310,,94.2454,
2017-09,99.9708,,95.7084,,115.5709,,94.2638,
2017-10,99.5729,,95.2146,,115.2886,,93.8491,
2017-11,99.5118,,95.2061,,115.4533,,93.9714,
2017-12,99.8285,,95.4009,,115.8025,,94.0918,
2018-01,100.5226,,96.1542,,116.7400,,94.8592,
2018-02,100.7573,,96.1662,,117.2697,,95.0633,
2018-03,100.9054,,96.4910,,117.5117,,95.3844,
2018-04,100.6267,,96.1708,,117.5800,,95.3331,
2018-05,99.2238,,94.9770,,116.1898,,94.3271,
2018-06,98.9625,,94.7018,,116.1003,,94.1322,
2018-07,100.0932,,95.8080,,117.3637,,95.1494,
2018-08,99.7978,,95.3552,,117.8053,,95.2907,
2018-09,100.2391,,95.8766,,119.0922,,96.2804,
2018-10,99.6188,,95.2999,,117.7955,,95.1734,
2018-11,99.0681,,94.7915,,116.7738,,94.3648,
2018-12,99.1954,,94.6240,,116.9485,,94.1954,
2019-01,98.6904,,94.1666,,116.3047,,93.6455,
2019-02,98.2695,,93.6618,,115.6089,,92.9638,
2019-03,97.7346,,93.0592,,115.1543,,92.4733,
2019-04,97.5801,,92.8502,,115.0040,,92.2604,
2019-05,98.1235,,93.2689,,115.7279,,92.7050,
2019-06,98.6527,,93.7534,,116.1891,,93.0464,
2019-07,98.2744,,93.3339,,115.3452,,92.2864,
2019-08,98.8321,,93.7673,,116.2267,,92.8771,
2019-09,98.0502,,92.9796,,115.2521,,92.0230,
2019-10,97.9625,,92.6940,,115.2364,,91.7815,
2019-11,97.3612,,92.0121,,114.6310,,91.1597,
2019-12,97.3130,,91.9186,,114.6317,,91.0176,
2020-01,96.8773,,91.2641,,114.1497,,90.3831,
2020-02,96.2135,,90.5312,,113.4923,,89.7627,
2020-03,98.8402,,92.9245,,117.8111,,93.0360,
2020-04,98.0824,,92.5126,,117.4892,,92.9923,
2020-05,98.2763,,92.6001,,117.5320,,92.9084,
2020-06,99.6826,,93.8466,,119.0541,,93.9913,
2020-07,100.4010,,94.4626,,120.2975,,94.8347,
2020-08,101.4987,,94.9223,,122.4027,,95.8797,
2020-09,101.5204,,94.8805,,122.4351,,95.7693,
2020-10,101.2684,,94.7222,,122.3908,,95.6931,
2020-11,100.5760,,94.2058,,121.5908,,95.0824,
2020-12,101.7951,,95.1384,,122.9315,,95.8854,
2021-01,101.3175,,95.2571,,122.3797,,96.0067,
2021-02,100.6493,,94.5532,,121.4912,,95.1686,
2021-03,100.3122,,94.0842,,121.2465,,94.7771,
2021-04,100.5823,,94.2378,,121.9221,,95.1317,
2021-05,100.7819,,94.3137,,122.2620,,95.2467,
2021-06,100.2204,,93.7385,,121.4954,,94.5559,
2021-07,99.6827,,93.5477,,120.8164,,94.2867,
2021-08,99.3436,,93.2107,,120.3768,,93.9062,
2021-09,99.4164,,93.2853,,120.3771,,93.8221,Provisional value
2021-10,98.4342,,92.3424,,119.4618,,93.0554,Provisional value
2021-11,97.5833,,91.6399,,118.7863,,92.5404,Provisional value
2021-12,97.0891,,91.1104,,119.0184,,92.3471,Provisional value
2022-01,96.6136,,91.1410,Provisional value,118.5730,,92.2950,Provisional value
2022-02,96.8647,,91.5507,Provisional value,118.9009,,92.5182,Provisional value
"",Source: Deutsche Bundesbank. Published in the ECB's SDW: EXR.M.E5.EUR.EN00.A,,Source: Deutsche Bundesbank. Published in the ECB's SDW: EXR.M.E5.EUR.ERC0.A,,Source: Deutsche Bundesbank. Published in the ECB's SDW: EXR.M.E7.EUR.EN00.A,,Source: Deutsche Bundesbank. Published in the ECB's SDW: EXR.M.E7.EUR.ERC0.A,
"","Methodology: Based on the weighted averages of the euro or, prior to 1999, of the exchange rates of the currencies preceding the euro vis-à-vis the currencies of the following countries: Australia, Bulgaria, Canada, China, Croatia, Czechia, Denmark, Hong Kong, Hungary, Japan, Norway, Poland, Romania, Singapore, South Korea, Sweden, Switzerland, the United Kingdom and the United States.                       Weighting scheme drawn up on the basis of foreign trade in the field of manufacturing (SITC 5-8) as well as services. Starting with the period between 1995 and 1997, the weighting is updated every three years. The final respected weighting period until the current date: years between 2016 and 2018. In order to capture third-market effects, export shares were derived on the basis of the principle of ""double weighting"".                                For details of the methodology, see the ECB's website as well as the ECB's Occasional Paper No.134, which can be downloaded from the ECB's website (www.ecb.int).",,"Methodology: Based on the weighted averages of the euro or, prior to 1999, of the exchange rates of the currencies preceding the euro vis-à-vis the currencies of the following countries: Australia, Bulgaria, Canada, China, Croatia, Czechia, Denmark, Hong Kong, Hungary, Japan, Norway, Poland, Romania, Singapore, South Korea, Sweden, Switzerland, the United Kingdom and the United States.                       Where current consumer price indices were not yet available, estimates have been used.                                                        Weighting scheme drawn up on the basis of foreign trade in the field of manufacturing (SITC 5-8) as well as services. Starting with the period between 1995 and 1997, the weighting is updated every three years. The final respected weighting period until the current date: years between 2016 and 2018. In order to capture third-market effects, export shares were derived on the basis of the principle of ""double weighting"".                               For details of the methodology, see the ECB's website as well as the ECB's Occasional Paper No.134, which can be downloaded from the ECB's website (www.ecb.int).",,"Methodology: Based on the weighted averages of the euro or, prior to 1999, of the exchange rates of the currencies preceding the euro vis-à-vis the currencies of the following countries: Algeria, Argentina, Australia, Brazil, Bulgaria, Canada, Chile, China, Colombia, Croatia, Czechia, Denmark, Hong Kong, Hungary, Iceland, India, Indonesia, Israel, Japan, Malaysia, Mexico, Morocco, New Zealand, Norway, Peru, Philippines, Poland, Romania, the Russian Federation, Saudi Arabia, Singapore, South Africa, South Korea, Sweden, Switzerland, Taiwan, Thailand, Turkey, Ukraine, the United Arab Emirates, the United Kingdom and the United States.                                  Weighting scheme drawn up on the basis of foreign trade in the field of manufacturing (SITC 5-8) as well as services. Starting with the period between 1995 and 1997, the weighting is updated every three years. The final respected weighting period until the current date: years between 2016 and 2018. In order to capture third-market effects, export shares were derived on the basis of the principle of ""double weighting"".                                 For details of the methodology, see the ECB's website as well as the ECB's Occasional Paper No.134, which can be downloaded from the ECB's website (www.ecb.int).",,"Methodology: Based on the weighted averages of the euro or, prior to 1999, of the exchange rates of the currencies preceding the euro vis-à-vis the currencies of the following countries: Algeria, Argentina, Australia, Brazil, Bulgaria, Canada, Chile, China, Colombia, Croatia, Czechia, Denmark, Hong Kong, Hungary, Iceland, India, Indonesia, Israel, Japan, Malaysia, Mexico, Morocco, New Zealand, Norway, Peru, Philippines, Poland, Romania, the Russian Federation, Saudi Arabia, Singapore, South Africa, South Korea, Sweden, Switzerland, Taiwan, Thailand, Turkey, Ukraine, the United Arab Emirates, the United Kingdom and the United States..                                   Where current consumer price indices were not yet available, estimates have been used.                                                           Weighting scheme drawn up on the basis of foreign trade in the field of manufacturing (SITC 5-8) as well as services. Starting with the period between 1995 and 1997, the weighting is updated every three years. The final respected weighting period until the current date: years between 2016 and 2018. In order to capture third-market effects, export shares were derived on the basis of the principle of ""double weighting"".                            For details of the methodology, see the ECB's website as well as the ECB's Occasional Paper No.134, which can be downloaded from the ECB's website (www.ecb.int).",
