Year;Value;Region;Chapter;Table;Indicator;Energy Source
2018;42.68543;India;Availability of Energy Sources;5.1: Trends in Availability of Primary Sources of Conventional Energy;Availability of Primary Energy;Lignite
2009;59.41;India;Availability of Energy Sources;5.1: Trends in Availability of Primary Sources of Conventional Energy;Availability of Primary Energy;Natural Gas
2009;192.95;India;Availability of Energy Sources;5.1: Trends in Availability of Primary Sources of Conventional Energy;Availability of Primary Energy;Crude Oil
2010;201.27868;India;Availability of Energy Sources;5.1: Trends in Availability of Primary Sources of Conventional Energy;Availability of Primary Energy;Crude Oil
2018;260.700860028923;India;Availability of Energy Sources;5.1: Trends in Availability of Primary Sources of Conventional Energy;Availability of Primary Energy;Crude Oil
2006;482.37;India;Availability of Energy Sources;5.1: Trends in Availability of Primary Sources of Conventional Energy;Availability of Primary Energy;Coal
2018;958.249;India;Availability of Energy Sources;5.1: Trends in Availability of Primary Sources of Conventional Energy;Availability of Primary Energy;Coal
2008;32.996;India;Availability of Energy Sources;5.1: Trends in Availability of Primary Sources of Conventional Energy;Availability of Primary Energy;Lignite
2009;33.73;India;Availability of Energy Sources;5.1: Trends in Availability of Primary Sources of Conventional Energy;Availability of Primary Energy;Lignite
2015;45.47554;India;Availability of Energy Sources;5.1: Trends in Availability of Primary Sources of Conventional Energy;Availability of Primary Energy;Lignite
2020;;India;Availability of Energy Sources;5.1: Trends in Availability of Primary Sources of Conventional Energy;Availability of Primary Energy;Lignite
2005;;India;Availability of Energy Sources;5.1: Trends in Availability of Primary Sources of Conventional Energy;Availability of Primary Energy;Natural Gas
2016;55.6979176189682;India;Availability of Energy Sources;5.1: Trends in Availability of Primary Sources of Conventional Energy;Availability of Primary Energy;Natural Gas
2019;259.123931966244;India;Availability of Energy Sources;5.1: Trends in Availability of Primary Sources of Conventional Energy;Availability of Primary Energy;Crude Oil
2020;;India;Availability of Energy Sources;5.1: Trends in Availability of Primary Sources of Conventional Energy;Availability of Primary Energy;Crude Oil
2005;;India;Availability of Energy Sources;5.1: Trends in Availability of Primary Sources of Conventional Energy;Availability of Primary Energy;Coal
2007;507.68;India;Availability of Energy Sources;5.1: Trends in Availability of Primary Sources of Conventional Energy;Availability of Primary Energy;Coal
2010;607.060598;India;Availability of Energy Sources;5.1: Trends in Availability of Primary Sources of Conventional Energy;Availability of Primary Energy;Coal
2016;47.31774;India;Availability of Energy Sources;5.1: Trends in Availability of Primary Sources of Conventional Energy;Availability of Primary Energy;Lignite
2010;64.15929;India;Availability of Energy Sources;5.1: Trends in Availability of Primary Sources of Conventional Energy;Availability of Primary Energy;Natural Gas
2011;64.4503336248702;India;Availability of Energy Sources;5.1: Trends in Availability of Primary Sources of Conventional Energy;Availability of Primary Energy;Natural Gas
2015;52.5128551574423;India;Availability of Energy Sources;5.1: Trends in Availability of Primary Sources of Conventional Energy;Availability of Primary Energy;Natural Gas
2017;59.1701564660069;India;Availability of Energy Sources;5.1: Trends in Availability of Primary Sources of Conventional Energy;Availability of Primary Energy;Natural Gas
2011;209.818834097221;India;Availability of Energy Sources;5.1: Trends in Availability of Primary Sources of Conventional Energy;Availability of Primary Energy;Crude Oil
2013;227.026642783375;India;Availability of Energy Sources;5.1: Trends in Availability of Primary Sources of Conventional Energy;Availability of Primary Energy;Crude Oil
2015;239.792243731363;India;Availability of Energy Sources;5.1: Trends in Availability of Primary Sources of Conventional Energy;Availability of Primary Energy;Crude Oil
2016;249.940658530235;India;Availability of Energy Sources;5.1: Trends in Availability of Primary Sources of Conventional Energy;Availability of Primary Energy;Crude Oil
2017;256.117125030831;India;Availability of Energy Sources;5.1: Trends in Availability of Primary Sources of Conventional Energy;Availability of Primary Energy;Crude Oil
