"",BBFB1.M.Y.DE.W1.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.Y.DE.W1.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.Y.DE.W1.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS,BBDA1.M.DE.Y.EX.S.A.W1.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.A.W1.A.V.ABA.A_FLAGS,BBDA1.M.DE.Y.IM.S.A.W1.A.V.ABA.A,BBDA1.M.DE.Y.IM.S.A.W1.A.V.ABA.A_FLAGS,BBDA1.M.DE.Y.SD.S.A.W1.A.V.ABA.A,BBDA1.M.DE.Y.SD.S.A.W1.A.V.ABA.A_FLAGS,BBDA1.M.DE.Y.EX.S.A.W1.A.C.A15.A,BBDA1.M.DE.Y.EX.S.A.W1.A.C.A15.A_FLAGS,BBDA1.M.DE.Y.IM.S.A.W1.A.C.A15.A,BBDA1.M.DE.Y.IM.S.A.W1.A.C.A15.A_FLAGS,BBDA1.M.DE.Y.SD.S.A.W1.A.C.A15.A,BBDA1.M.DE.Y.SD.S.A.W1.A.C.A15.A_FLAGS,BBFB1.M.Y.DE.W1.S1.S1.T.C.FT___CIF._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.C.FT___CIF._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.Y.DE.W1.S1.S1.T.D.FT___CIF._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.D.FT___CIF._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.Y.DE.W1.S1.S1.T.C.G2._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.C.G2._Z._Z._Z._T._X.N_FLAGS
1992-06,48.55,,46.42,,2.13,,51.22,,49.97,,1.25,,,,,,,,-2.74,,-3.55,,0.07,
1992-07,54.30,,51.09,,3.21,,57.13,,55.51,,1.62,,,,,,,,-3.10,,-4.42,,0.27,
1992-08,54.09,,47.06,,7.03,,56.68,,50.79,,5.89,,,,,,,,-2.74,,-3.73,,0.15,
1992-09,52.93,,47.61,,5.32,,55.60,,50.99,,4.61,,,,,,,,-2.71,,-3.38,,0.04,
1992-10,53.46,,47.39,,6.07,,55.94,,51.46,,4.48,,,,,,,,-2.68,,-4.07,,0.20,
1992-11,49.73,,46.87,,2.86,,52.44,,50.70,,1.74,,,,,,,,-2.85,,-3.83,,0.14,
1992-12,50.34,,48.24,,2.10,,53.49,,52.61,,0.88,,,,,,,,-3.42,,-4.37,,0.27,
1993-01,48.08,,43.93,,4.15,,50.15,,47.51,,2.64,,,,,,,,-2.91,,-3.74,,0.84,
1993-02,52.53,,46.02,,6.51,,55.78,,49.48,,6.30,,,,,,,,-2.84,,-3.62,,-0.41,
1993-03,48.80,,42.32,,6.48,,51.28,,45.65,,5.63,,,,,,,,-2.66,,-3.49,,0.00,
1993-04,48.81,,44.61,,4.20,,51.46,,48.21,,3.25,,,,,,,,-3.21,,-3.81,,0.56,
1993-05,48.25,,42.52,,5.73,,51.59,,46.37,,5.22,,,,,,,,-3.11,,-4.06,,-0.23,
1993-06,47.78,,41.89,,5.89,,51.13,,45.96,,5.17,,,,,,,,-3.36,,-4.28,,-0.17,
1993-07,48.11,,43.34,,4.77,,51.14,,46.82,,4.32,,,,,,,,-3.08,,-3.74,,0.05,
1993-08,48.93,,44.07,,4.86,,52.47,,48.41,,4.06,,,,,,,,-3.30,,-4.60,,-0.24,
1993-09,49.65,,43.24,,6.41,,53.06,,47.90,,5.16,,,,,,,,-3.53,,-4.92,,-0.02,
1993-10,49.84,,42.59,,7.25,,53.43,,47.10,,6.33,,,,,,,,-3.70,,-4.67,,0.11,
1993-11,50.38,,45.02,,5.36,,53.24,,48.99,,4.25,,,,,,,,-3.47,,-4.13,,0.61,
1993-12,51.72,,43.61,,8.11,,54.80,,48.04,,6.76,,,,,,,,-3.65,,-4.59,,0.21,
1994-01,50.26,,43.61,,6.65,,53.61,,48.19,,5.42,,,,,,,,-3.78,,-4.74,,0.37,
1994-02,51.78,,44.78,,7.00,,54.69,,49.33,,5.36,,,,,,,,-3.46,,-4.70,,0.50,
1994-03,52.96,,47.18,,5.78,,56.00,,51.36,,4.64,,,,,,,,-3.26,,-4.39,,0.15,
1994-04,53.17,,45.33,,7.84,,56.68,,49.72,,6.96,,,,,,,,-3.51,,-4.53,,-0.07,
1994-05,55.64,,47.89,,7.75,,58.83,,52.65,,6.18,,,,,,,,-3.43,,-4.85,,0.17,
1994-06,55.40,,46.92,,8.48,,58.85,,50.93,,7.92,,,,,,,,-3.22,,-4.23,,-0.33,
1994-07,52.89,,47.27,,5.62,,56.27,,51.85,,4.42,,,,,,,,-3.88,,-4.97,,0.38,
1994-08,56.40,,47.04,,9.36,,59.97,,51.48,,8.49,,,,,,,,-3.59,,-4.63,,-0.27,
1994-09,55.58,,48.31,,7.27,,59.05,,53.18,,5.87,,,,,,,,-3.94,,-5.03,,0.36,
1994-10,55.33,,48.55,,6.78,,59.14,,52.91,,6.23,,,,,,,,-4.09,,-4.49,,0.21,
1994-11,55.98,,48.84,,7.14,,58.79,,53.37,,5.42,,,,,,,,-3.57,,-4.72,,0.67,
1994-12,58.08,,51.36,,6.72,,60.77,,56.03,,4.74,,,,,,,,-3.71,,-4.80,,0.87,
1995-01,57.79,,47.68,,10.11,,61.10,,52.42,,8.68,,,,,,,,-3.57,,-4.88,,0.20,
1995-02,58.65,,50.53,,8.12,,61.90,,55.78,,6.12,,,,,,,,-3.79,,-5.42,,0.44,
1995-03,57.19,,52.36,,4.83,,60.65,,56.58,,4.07,,,,,,,,-3.78,,-4.57,,0.18,
1995-04,58.06,,49.07,,8.99,,61.63,,53.96,,7.67,,,,,,,,-3.95,,-5.05,,0.30,
1995-05,58.49,,50.32,,8.17,,62.04,,54.67,,7.37,,,,,,,,-3.41,,-4.52,,-0.24,
1995-06,59.09,,52.81,,6.28,,63.58,,57.09,,6.49,,,,,,,,-3.80,,-4.35,,-0.76,
1995-07,57.83,,50.49,,7.34,,60.96,,55.00,,5.96,,,,,,,,-3.71,,-4.64,,0.47,
1995-08,56.60,,48.79,,7.81,,61.18,,53.36,,7.82,,,,,,,,-3.79,,-4.71,,-0.90,
1995-09,63.28,,52.68,,10.60,,66.24,,57.60,,8.64,,,,,,,,-3.91,,-5.02,,0.87,
1995-10,59.52,,51.45,,8.07,,63.17,,55.94,,7.23,,,,,,,,-4.16,,-4.76,,0.36,
1995-11,60.57,,50.24,,10.33,,62.43,,54.59,,7.84,,,,,,,,-3.84,,-4.59,,1.90,
1995-12,61.70,,52.55,,9.15,,64.54,,56.90,,7.64,,,,,,,,-3.81,,-4.49,,0.85,
1996-01,61.39,,55.27,,6.12,,64.82,,59.46,,5.36,,,,,,,,-3.87,,-4.31,,0.35,
1996-02,60.74,,50.19,,10.55,,63.64,,55.15,,8.49,,,,,,,,-4.03,,-5.12,,1.04,
1996-03,60.08,,51.82,,8.26,,63.10,,57.15,,5.95,,,,,,,,-4.05,,-5.55,,0.91,
1996-04,60.44,,52.16,,8.28,,64.58,,56.99,,7.59,,,,,,,,-4.01,,-4.97,,-0.22,
1996-05,61.18,,50.32,,10.86,,64.48,,55.43,,9.05,,,,,,,,-3.84,,-5.24,,0.38,
1996-06,59.62,,53.18,,6.44,,63.35,,57.68,,5.67,,,,,,,,-3.89,,-4.61,,0.09,
1996-07,63.41,,51.72,,11.69,,67.40,,57.15,,10.25,,,,,,,,-4.33,,-5.63,,0.21,
1996-08,60.60,,51.02,,9.58,,64.87,,55.76,,9.11,,,,,,,,-4.16,,-4.88,,-0.22,
1996-09,63.16,,52.61,,10.55,,66.93,,57.93,,9.00,,,,,,,,-4.31,,-5.50,,0.44,
1996-10,66.81,,54.32,,12.49,,69.73,,59.54,,10.19,,,,,,,,-4.26,,-5.43,,1.18,
1996-11,64.25,,53.22,,11.03,,67.75,,58.64,,9.11,,,,,,,,-4.50,,-5.69,,0.93,
1996-12,65.77,,56.47,,9.30,,69.65,,60.55,,9.10,,,,,,,,-4.58,,-4.37,,0.55,
1997-01,64.01,,57.83,,6.18,,68.26,,62.94,,5.32,,,,,,,,-4.51,,-5.45,,0.16,
1997-02,66.40,,57.31,,9.09,,70.57,,62.31,,8.26,,,,,,,,-4.13,,-5.08,,-0.12,
1997-03,67.81,,57.47,,10.34,,72.07,,62.43,,9.64,,,,,,,,-4.88,,-5.17,,0.54,
1997-04,65.50,,54.85,,10.65,,68.65,,59.99,,8.66,,,,,,,,-4.22,,-5.29,,1.00,
1997-05,69.69,,58.49,,11.20,,74.07,,64.68,,9.39,,,,,,,,-4.74,,-6.32,,0.30,
1997-06,68.64,,58.69,,9.95,,73.81,,63.64,,10.17,,,,,,,,-4.63,,-5.09,,-0.63,
1997-07,71.34,,60.38,,10.96,,76.02,,66.01,,10.01,,,,,,,,-4.73,,-5.85,,-0.08,
1997-08,70.62,,60.64,,9.98,,75.01,,65.70,,9.31,,,,,,,,-4.71,,-5.19,,0.22,
1997-09,75.36,,60.23,,15.13,,79.68,,65.62,,14.06,,,,,,,,-4.66,,-5.51,,0.28,
1997-10,73.07,,62.22,,10.85,,76.47,,67.71,,8.76,,,,,,,,-4.53,,-5.64,,1.02,
1997-11,72.91,,60.94,,11.97,,77.04,,66.73,,10.31,,,,,,,,-5.08,,-6.08,,0.89,
1997-12,76.67,,60.21,,16.46,,79.86,,66.01,,13.85,,,,,,,,-5.00,,-5.94,,1.76,
1998-01,75.54,,67.94,,7.60,,80.21,,73.66,,6.55,,,,,,,,-4.61,,-6.02,,-0.14,
1998-02,75.22,,63.50,,11.72,,79.90,,68.73,,11.17,,,,,,,,-4.67,,-5.54,,-0.10,
1998-03,73.51,,61.06,,12.45,,78.14,,67.42,,10.72,,,,,,,,-5.35,,-6.51,,0.68,
1998-04,77.49,,67.01,,10.48,,82.79,,72.58,,10.21,,,,,,,,-5.17,,-5.75,,-0.21,
1998-05,74.90,,60.27,,14.63,,79.68,,65.70,,13.98,,,,,,,,-5.25,,-5.54,,0.38,
1998-06,74.67,,64.62,,10.05,,80.52,,71.02,,9.50,,,,,,,,-5.90,,-6.86,,-0.02,
1998-07,77.39,,64.42,,12.97,,82.46,,70.43,,12.03,,,,,,,,-5.53,,-6.19,,0.40,
1998-08,73.51,,63.11,,10.40,,78.17,,68.79,,9.38,,,,,,,,-5.39,,-5.83,,0.66,
1998-09,72.34,,60.49,,11.85,,77.86,,66.44,,11.42,,,,,,,,-5.51,,-6.12,,-0.08,
1998-10,74.37,,61.95,,12.42,,78.68,,67.95,,10.73,,,,,,,,-5.12,,-6.30,,0.75,
1998-11,74.06,,58.58,,15.48,,78.17,,64.56,,13.61,,,,,,,,-5.18,,-6.13,,0.98,
1998-12,71.67,,62.48,,9.19,,76.36,,69.35,,7.01,,,,,,,,-5.81,,-7.09,,1.05,
1999-01,37.09,,33.43,,3.66,,39.94,,34.84,,5.10,,,,,,,,-2.68,,-1.49,,-0.19,
1999-02,38.64,,32.77,,5.87,,40.61,,35.21,,5.40,,,,,,,,-2.19,,-2.50,,0.19,
1999-03,36.64,,32.00,,4.64,,39.63,,35.07,,4.56,,,,,,,,-2.78,,-3.15,,-0.24,
1999-04,38.81,,32.91,,5.90,,41.26,,35.69,,5.57,,,,,,,,-2.61,,-2.86,,0.12,
1999-05,38.62,,34.49,,4.13,,41.03,,37.53,,3.50,,,,,,,,-2.63,,-3.08,,0.19,
1999-06,40.03,,33.32,,6.71,,42.38,,36.38,,6.00,,,,,,,,-2.79,,-3.13,,0.39,
1999-07,41.02,,34.34,,6.68,,43.89,,37.34,,6.55,,,,,,,,-2.79,,-3.10,,-0.13,
1999-08,39.95,,36.59,,3.36,,42.15,,38.67,,3.48,,,,,,,,-2.46,,-2.16,,0.21,
1999-09,40.66,,34.24,,6.42,,43.11,,37.34,,5.77,,,,,,,,-2.81,,-3.18,,0.33,
1999-10,41.31,,34.58,,6.73,,42.94,,37.39,,5.55,,,,,,,,-2.78,,-2.90,,1.08,
1999-11,43.27,,35.52,,7.75,,45.86,,38.65,,7.21,,,,,,,,-3.12,,-3.19,,0.50,
1999-12,41.14,,35.25,,5.89,,43.77,,38.07,,5.70,,,,,,,,-2.93,,-2.87,,0.25,
2000-01,42.86,,38.44,,4.42,,45.41,,41.51,,3.90,,,,,,,,-2.91,,-3.10,,0.32,
2000-02,43.29,,36.56,,6.73,,46.17,,39.68,,6.49,,,,,,,,-3.07,,-3.18,,0.16,
2000-03,45.08,,39.54,,5.54,,47.79,,43.06,,4.73,,,,,,,,-3.33,,-3.56,,0.58,
2000-04,44.37,,38.11,,6.26,,47.41,,41.62,,5.79,,,,,,,,-3.36,,-3.56,,0.28,
2000-05,46.38,,41.73,,4.65,,49.16,,45.17,,3.99,,,,,,,,-2.92,,-3.51,,0.10,
2000-06,46.02,,39.81,,6.21,,49.86,,43.59,,6.27,,,,,,,,-3.53,,-3.83,,-0.36,
2000-07,47.90,,41.51,,6.39,,50.49,,45.05,,5.44,,,,,,,,-3.23,,-3.61,,0.61,
2000-08,46.66,,43.33,,3.33,,49.76,,46.66,,3.10,,,,,,,,-3.33,,-3.38,,0.16,
2000-09,47.30,,42.61,,4.69,,50.50,,45.77,,4.73,,,,,,,,-3.21,,-3.26,,-0.04,
2000-10,52.13,,44.63,,7.50,,54.83,,47.95,,6.88,,,,,,,,-3.84,,-3.39,,0.98,
2000-11,50.01,,44.91,,5.10,,53.24,,48.43,,4.81,,,,,,,,-3.30,,-3.60,,0.03,
2000-12,49.84,,46.56,,3.28,,52.30,,49.23,,3.07,,,,,,,,-3.25,,-2.75,,0.74,
2001-01,50.21,,43.67,,6.54,,53.58,,47.42,,6.16,,,,,,,,-3.36,,-3.85,,-0.06,
2001-02,51.23,,43.61,,7.62,,54.10,,47.15,,6.95,,,,,,,,-3.51,,-3.62,,0.57,
2001-03,49.17,,40.94,,8.23,,52.36,,44.37,,7.99,,,,,,,,-3.17,,-3.52,,-0.06,
2001-04,51.00,,43.99,,7.01,,53.94,,47.35,,6.59,,,,,,,,-3.37,,-3.43,,0.40,
2001-05,48.77,,41.30,,7.47,,52.99,,45.10,,7.89,,,,,,,,-3.27,,-3.92,,-1.01,
2001-06,49.68,,42.86,,6.82,,54.05,,46.69,,7.36,,,,,,,,-3.76,,-3.93,,-0.65,
2001-07,50.92,,42.15,,8.77,,54.38,,45.98,,8.40,,,,,,,,-3.75,,-3.90,,0.23,
2001-08,50.01,,40.71,,9.30,,54.28,,44.79,,9.49,,,,,,,,-4.06,,-4.11,,-0.28,
2001-09,49.44,,41.29,,8.15,,52.54,,44.67,,7.87,,,,,,,,-3.58,,-3.43,,0.46,
2001-10,50.64,,40.34,,10.30,,53.69,,44.36,,9.33,,,,,,,,-3.59,,-4.08,,0.48,
2001-11,48.69,,39.89,,8.80,,51.49,,43.90,,7.59,,,,,,,,-3.69,,-4.06,,0.85,
2001-12,51.99,,39.08,,12.91,,53.77,,42.94,,10.83,,,,,,,,-3.53,,-3.89,,1.70,
2002-01,48.20,,37.04,,11.16,,51.49,,40.77,,10.72,,,,,,,,-3.75,,-3.81,,0.40,
2002-02,49.74,,38.43,,11.31,,54.02,,43.42,,10.60,,,,,,,,-4.31,,-5.04,,-0.01,
2002-03,50.27,,38.85,,11.42,,54.07,,42.83,,11.24,,,,,,,,-3.71,,-4.03,,-0.19,
2002-04,50.72,,40.34,,10.38,,54.07,,44.30,,9.77,,,,,,,,-3.64,,-4.00,,0.25,
2002-05,49.79,,37.47,,12.32,,51.49,,40.58,,10.91,,,,,,,,-2.39,,-3.16,,0.64,
2002-06,51.88,,40.65,,11.23,,55.95,,45.36,,10.59,,,,,,,,-3.95,,-4.79,,-0.18,
2002-07,50.59,,38.37,,12.22,,53.21,,41.66,,11.55,,,,,,,,-3.14,,-3.34,,0.48,
2002-08,51.62,,39.67,,11.95,,55.99,,44.45,,11.54,,,,,,,,-4.44,,-4.84,,0.03,
2002-09,52.98,,39.51,,13.47,,56.47,,44.18,,12.29,,,,,,,,-3.64,,-4.73,,0.10,
2002-10,52.33,,39.74,,12.59,,55.28,,44.08,,11.20,,,,,,,,-3.87,,-4.39,,0.85,
2002-11,54.11,,40.44,,13.67,,57.05,,44.03,,13.02,,,,,,,,-3.33,,-3.65,,0.32,
2002-12,52.42,,40.89,,11.53,,55.34,,44.61,,10.73,,,,,,,,-3.57,,-3.77,,0.61,
2003-01,50.83,,41.99,,8.84,,54.70,,45.87,,8.83,,,,,,,,-4.36,,-3.95,,0.40,
2003-02,51.56,,41.28,,10.28,,55.40,,45.00,,10.40,,,,,,,,-3.90,,-3.77,,0.03,
2003-03,50.27,,41.47,,8.80,,54.25,,45.69,,8.56,,,,,,,,-4.17,,-4.28,,0.15,
2003-04,49.90,,40.31,,9.59,,53.41,,44.22,,9.19,,,,,,,,-4.11,,-3.96,,0.57,
2003-05,50.23,,39.58,,10.65,,54.48,,43.82,,10.66,,,,,,,,-4.18,,-4.29,,-0.10,
2003-06,50.81,,41.07,,9.74,,54.73,,44.66,,10.07,,,,,,,,-3.82,,-3.64,,-0.13,
2003-07,51.73,,39.93,,11.80,,55.65,,43.30,,12.35,,,,,,,,-3.87,,-3.40,,-0.09,
2003-08,52.45,,40.22,,12.23,,55.89,,43.97,,11.92,,,,,,,,-3.84,,-3.81,,0.34,
2003-09,53.64,,39.83,,13.81,,57.94,,43.77,,14.17,,,,,,,,-4.33,,-3.98,,-0.02,
2003-10,51.77,,40.62,,11.15,,54.81,,44.18,,10.63,,,,,,,,-3.61,,-3.62,,0.51,
2003-11,54.29,,42.60,,11.69,,57.52,,46.25,,11.27,,,,,,,,-3.88,,-3.69,,0.63,
2003-12,54.65,,42.07,,12.58,,58.22,,45.18,,13.04,,,,,,,,-3.71,,-3.14,,0.09,
2004-01,53.98,,41.87,,12.11,,58.00,,45.67,,12.33,,,,,,,,-4.26,,-3.85,,0.21,
2004-02,54.62,,42.98,,11.64,,58.69,,46.44,,12.25,,,,,,,,-4.10,,-3.52,,-0.01,
2004-03,55.44,,41.90,,13.54,,58.78,,45.26,,13.52,,,,,,,,-3.65,,-3.41,,0.28,
2004-04,56.62,,42.38,,14.24,,61.12,,46.56,,14.56,,,,,,,,-4.70,,-4.23,,0.17,
2004-05,59.37,,43.56,,15.81,,62.84,,47.20,,15.64,,,,,,,,-4.24,,-3.68,,0.74,
2004-06,57.02,,44.05,,12.97,,60.10,,46.96,,13.14,,,,,,,,-3.62,,-2.95,,0.51,
2004-07,57.86,,45.63,,12.23,,61.38,,49.02,,12.36,,,,,,,,-4.21,,-3.43,,0.65,
2004-08,56.52,,44.47,,12.05,,60.55,,47.84,,12.71,,,,,,,,-4.26,,-3.43,,0.21,
2004-09,56.83,,45.57,,11.26,,60.39,,49.12,,11.27,,,,,,,,-4.39,,-3.60,,0.79,
2004-10,58.27,,45.86,,12.41,,61.64,,49.17,,12.47,,,,,,,,-4.05,,-3.35,,0.66,
2004-11,58.86,,47.65,,11.21,,62.80,,51.24,,11.56,,,,,,,,-4.20,,-3.66,,0.22,
2004-12,56.24,,44.61,,11.63,,60.41,,48.16,,12.25,,,,,,,,-3.98,,-3.58,,-0.24,
2005-01,59.30,,44.64,,14.66,,63.60,,48.83,,14.77,,,,,,,,-4.62,,-4.24,,0.28,
2005-02,57.23,,44.22,,13.01,,61.02,,47.58,,13.44,,,,,,,,-3.88,,-3.45,,0.06,
2005-03,58.34,,44.29,,14.05,,62.81,,48.30,,14.51,,,,,,,,-4.59,,-4.06,,0.08,
2005-04,58.18,,46.25,,11.93,,62.51,,50.14,,12.37,,,,,,,,-4.42,,-3.91,,0.08,
2005-05,61.70,,49.70,,12.00,,65.76,,53.68,,12.08,,,,,,,,-4.18,,-4.01,,0.11,
2005-06,60.43,,47.26,,13.17,,64.44,,50.76,,13.68,,,,,,,,-4.29,,-3.52,,0.26,
2005-07,61.88,,48.60,,13.28,,65.68,,51.94,,13.74,,,,,,,,-3.94,,-3.43,,0.12,
2005-08,62.52,,48.44,,14.08,,66.68,,52.55,,14.13,,,,,,,,-4.76,,-4.17,,0.56,
2005-09,63.06,,49.41,,13.65,,66.43,,53.21,,13.22,,,,,,,,-4.71,,-3.88,,1.25,
2005-10,63.67,,51.80,,11.87,,67.62,,55.26,,12.36,,,,,,,,-4.66,,-3.56,,0.64,
2005-11,64.64,,52.92,,11.72,,68.01,,56.30,,11.71,,,,,,,,-3.94,,-3.48,,0.53,
2005-12,65.49,,53.42,,12.07,,67.99,,57.09,,10.90,,,,,,,,-3.93,,-3.86,,1.38,
2006-01,66.31,,52.98,,13.33,,69.80,,56.53,,13.27,,,,,,,,-4.21,,-3.67,,0.66,
2006-02,67.37,,54.42,,12.95,,71.49,,58.94,,12.55,,,,,,,,-4.69,,-4.63,,0.50,
2006-03,64.59,,54.98,,9.61,,69.43,,58.96,,10.47,,,,,,,,-5.05,,-4.10,,0.13,
2006-04,69.57,,55.65,,13.92,,73.68,,60.28,,13.40,,,,,,,,-4.89,,-4.71,,0.68,
2006-05,66.99,,56.39,,10.60,,71.15,,60.48,,10.67,,,,,,,,-4.51,,-4.16,,0.28,
