"",BBK01.TSD303O,BBK01.TSD303O_FLAGS,BBK01.TSD302,BBK01.TSD302_FLAGS,BBK01.TSD304,BBK01.TSD304_FLAGS,BBK01.TSD305,BBK01.TSD305_FLAGS,BBK01.TSD306,BBK01.TSD306_FLAGS,BBK01.TS5379O,BBK01.TS5379O_FLAGS,BBK01.TS1353,BBK01.TS1353_FLAGS,BBK01.TZ5353O,BBK01.TZ5353O_FLAGS,BBK01.TZ4952,BBK01.TZ4952_FLAGS,BBK01.TZ4954,BBK01.TZ4954_FLAGS,BBK01.TZ4955,BBK01.TZ4955_FLAGS,BBK01.TZ4956,BBK01.TZ4956_FLAGS,BBK01.TZ5379O,BBK01.TZ5379O_FLAGS,BBK01.TZ1303,BBK01.TZ1303_FLAGS,BBK01.TS5303O,BBK01.TS5303O_FLAGS,BBK01.AY4952,BBK01.AY4952_FLAGS,BBK01.AY4954,BBK01.AY4954_FLAGS,BBK01.AY4955,BBK01.AY4955_FLAGS,BBK01.AY4956,BBK01.AY4956_FLAGS,BBK01.TS5329O,BBK01.TS5329O_FLAGS,BBK01.TS1303,BBK01.TS1303_FLAGS
2004-04,1506.6,,1396.5,,653.3,,237.5,,505.7,,110.1,,6260.9,,-0.7,,0.4,,5.8,,-6.7,,1.4,,-1.1,,26.9,,74.29925,,74.19289,,78.54985,,37.95499,,118.73627,,75.86894,,66.58254,
2004-05,1508.5,,1399.0,,649.2,,242.8,,507.1,,109.5,,6265.0,,2.2,,2.8,,-4.0,,5.3,,1.4,,-0.5,,7.9,,74.40937,,74.33937,,78.07313,,38.80838,,119.06060,,75.50777,,66.66639,
2004-06,1504.8,,1395.5,,650.7,,237.0,,507.8,,109.3,,6315.0,,-3.8,,-3.5,,1.1,,-5.4,,0.7,,-0.3,,46.4,,74.22316,,74.15232,,78.20879,,37.94763,,119.23340,,75.33195,,67.16071,
2004-07,1510.4,,1398.0,,649.8,,239.2,,508.9,,112.4,,6354.3,,5.5,,2.3,,-0.6,,1.8,,1.1,,3.1,,38.6,,74.49228,,74.27634,,78.13833,,38.23858,,119.49227,,77.48439,,67.57073,
2004-08,1511.3,,1402.0,,654.5,,237.5,,510.1,,109.3,,6375.3,,1.0,,4.1,,4.7,,-1.7,,1.2,,-3.1,,21.6,,74.54337,,74.49620,,78.70302,,37.96161,,119.76807,,75.34618,,67.80021,
2004-09,1517.0,,1408.9,,663.8,,234.2,,510.9,,108.1,,6417.4,,6.0,,7.3,,9.6,,-3.1,,0.8,,-1.3,,45.4,,74.83893,,74.88537,,79.86261,,37.45992,,119.96041,,74.42779,,68.28304,
2004-10,1516.1,,1408.8,,661.3,,235.1,,512.4,,107.3,,6461.3,,-0.5,,0.2,,-2.3,,1.0,,1.5,,-0.7,,46.1,,74.81323,,74.89743,,79.58663,,37.62648,,120.30787,,73.91275,,68.77364,
2004-11,1518.5,,1411.6,,671.3,,226.6,,513.7,,106.9,,6484.7,,3.7,,4.0,,11.1,,-8.4,,1.3,,-0.3,,29.1,,74.99379,,75.10908,,80.91821,,36.28063,,120.61962,,73.69093,,69.08368,
2004-12,1515.3,,1411.0,,653.0,,242.7,,515.3,,104.3,,6540.4,,-2.7,,-0.2,,-18.0,,16.3,,1.6,,-2.5,,62.2,,74.86089,,75.10073,,78.74752,,38.88939,,120.98634,,71.94400,,69.74669,
2005-01,1532.7,,1426.6,,676.6,,233.5,,516.5,,106.1,,6573.5,,16.6,,14.9,,23.1,,-9.5,,1.2,,1.7,,27.6,,75.68132,,75.89282,,81.53852,,37.37149,,121.27081,,73.13380,,70.04109,
2005-02,1542.1,,1430.8,,683.7,,230.6,,516.5,,111.4,,6608.1,,3.6,,4.4,,7.2,,-2.8,,0.0,,-0.9,,26.4,,75.85671,,76.12759,,82.40701,,36.92704,,121.26654,,72.54040,,70.32161,
2005-03,1535.1,,1427.5,,684.9,,225.8,,516.7,,107.6,,6628.9,,-7.0,,-3.2,,1.6,,-4.3,,-0.5,,-3.8,,20.1,,75.51091,,75.95674,,82.60095,,36.23538,,121.14931,,70.05253,,70.53567,
2005-04,1546.2,,1436.1,,687.5,,231.2,,517.4,,110.1,,6682.2,,11.1,,8.6,,2.5,,5.4,,0.6,,2.5,,52.7,,76.05550,,76.41238,,82.90460,,37.10368,,121.29788,,71.68572,,71.09621,
2005-05,1552.9,,1445.0,,695.5,,231.5,,518.0,,107.9,,6731.0,,5.9,,8.2,,7.5,,0.0,,0.6,,-2.3,,42.5,,76.34453,,76.84746,,83.81010,,37.10771,,121.44865,,70.18748,,71.54796,
2005-06,1562.7,,1451.0,,703.5,,229.7,,517.9,,111.7,,6807.2,,9.3,,5.7,,7.8,,-1.9,,-0.2,,3.6,,67.3,,76.80232,,77.15149,,84.74520,,36.80473,,121.41284,,72.52607,,72.22966,
2005-07,1572.6,,1459.6,,712.2,,228.8,,518.5,,113.0,,6876.1,,10.0,,8.6,,8.8,,-0.8,,0.7,,1.3,,69.0,,77.29296,,77.61136,,85.80888,,36.66892,,121.56923,,73.39244,,72.96160,
2005-08,1580.1,,1463.3,,717.0,,227.6,,518.7,,116.8,,6910.9,,7.5,,3.7,,4.7,,-1.2,,0.2,,3.8,,35.9,,77.66188,,77.80693,,86.37279,,36.48152,,121.60841,,75.87904,,73.34222,
2005-09,1582.2,,1468.2,,719.1,,229.7,,519.4,,114.0,,6972.3,,1.9,,4.7,,2.0,,2.0,,0.7,,-2.9,,60.8,,77.75301,,78.05780,,86.61476,,36.80291,,121.77333,,74.01854,,73.98764,
2005-10,1590.1,,1473.5,,723.1,,231.1,,519.3,,116.6,,6991.0,,7.8,,5.2,,4.5,,0.9,,-0.1,,2.6,,14.5,,78.13800,,78.33607,,87.15251,,36.94793,,121.74153,,75.70698,,74.14082,
2005-11,1588.1,,1472.6,,719.8,,233.4,,519.4,,115.5,,7026.0,,-2.6,,-1.2,,-3.5,,2.2,,0.2,,-1.4,,19.0,,78.01092,,78.27376,,86.73312,,37.29260,,121.77683,,74.78876,,74.34132,
2005-12,1591.3,,1477.5,,722.9,,236.2,,518.4,,113.8,,7087.7,,3.2,,4.9,,3.1,,2.8,,-1.0,,-1.7,,46.1,,78.16904,,78.53619,,87.10544,,37.74785,,121.54227,,73.67648,,74.82698,
2006-01,1598.3,,1485.9,,725.8,,242.8,,517.3,,112.4,,7118.4,,7.1,,8.8,,3.2,,6.7,,-1.1,,-1.7,,42.5,,78.51900,,79.00533,,87.48923,,38.82138,,121.28978,,72.57451,,75.27523,
2006-02,1599.2,,1488.3,,725.5,,246.4,,516.4,,110.9,,7171.6,,0.5,,2.1,,-0.5,,3.5,,-0.9,,-1.6,,50.7,,78.54155,,79.11438,,87.42645,,39.38116,,121.07181,,71.54644,,75.81102,
2006-03,1615.7,,1498.3,,734.5,,248.9,,514.9,,117.4,,7223.4,,17.0,,10.3,,9.3,,2.6,,-1.5,,6.6,,62.7,,79.37624,,79.66445,,88.54709,,39.79627,,120.70882,,75.83646,,76.47381,
2006-04,1631.9,,1517.1,,743.6,,259.8,,513.7,,114.8,,7306.3,,16.7,,19.3,,9.4,,11.1,,-1.2,,-2.6,,86.9,,80.19728,,80.69093,,89.68211,,41.56754,,120.43015,,74.16178,,77.39406,
2006-05,1625.4,,1505.5,,737.4,,257.0,,511.1,,119.8,,7347.1,,2.1,,-2.3,,2.9,,-2.6,,-2.6,,4.4,,47.6,,80.30004,,80.57046,,90.03702,,41.14836,,119.82363,,76.97626,,77.89866,
2006-06,1642.3,,1523.1,,747.6,,266.0,,509.5,,119.2,,7386.0,,6.3,,8.5,,1.2,,8.9,,-1.6,,-2.2,,42.3,,80.61287,,81.02524,,90.18138,,42.57823,,119.44488,,75.58480,,78.34724,
2006-07,1637.4,,1520.8,,746.1,,268.4,,506.3,,116.6,,7402.8,,-4.9,,-2.2,,-1.5,,2.4,,-3.2,,-2.6,,20.5,,80.37313,,80.90608,,89.99726,,42.96907,,118.70506,,73.90850,,78.56514,
2006-08,1642.2,,1520.4,,742.2,,275.4,,502.7,,121.9,,7476.0,,4.4,,-0.9,,-4.4,,7.0,,-3.6,,5.3,,63.9,,80.58813,,80.85575,,89.47243,,44.09362,,117.85638,,77.28524,,79.24210,
2006-09,1650.2,,1525.7,,738.2,,288.0,,499.5,,124.6,,7575.0,,8.8,,5.1,,-4.2,,12.5,,-3.2,,3.7,,88.3,,81.01860,,81.12794,,88.96474,,46.09789,,117.10874,,79.60233,,80.17832,
2006-10,1642.3,,1523.0,,732.1,,295.4,,495.6,,119.2,,7595.0,,-8.0,,-2.6,,-6.1,,7.4,,-3.9,,-5.3,,23.1,,80.62745,,80.98867,,88.23192,,47.28344,,116.18425,,76.18482,,80.42275,
2006-11,1651.0,,1536.4,,741.0,,304.4,,490.9,,114.6,,7647.7,,9.5,,14.0,,9.4,,9.2,,-4.6,,-4.5,,74.7,,81.09376,,81.73196,,89.36419,,48.75698,,115.10024,,73.32207,,81.21475,
2006-12,1670.1,,1554.1,,756.7,,310.4,,487.0,,116.0,,7756.5,,19.1,,17.7,,15.7,,6.0,,-4.0,,1.4,,104.3,,82.03176,,82.67460,,91.25739,,49.71387,,114.17328,,74.20309,,82.32078,
2007-01,1679.9,,1559.5,,756.8,,321.8,,480.9,,120.5,,7837.4,,9.4,,5.0,,-0.1,,11.3,,-6.2,,4.4,,64.1,,82.49347,,82.94096,,91.24020,,51.52476,,112.72982,,77.01364,,83.00063,
2007-02,1687.2,,1564.0,,758.3,,329.4,,476.3,,123.2,,7891.9,,8.1,,4.8,,1.8,,7.6,,-4.6,,3.2,,58.3,,82.88955,,83.19737,,91.45259,,52.74954,,111.65413,,79.08813,,83.61759,
2007-03,1702.7,,1576.0,,763.3,,339.2,,473.5,,126.7,,8009.9,,15.8,,12.2,,5.0,,9.9,,-2.7,,3.5,,120.8,,83.66358,,83.84732,,92.05985,,54.33638,,111.01483,,81.35848,,84.89724,
2007-04,1708.8,,1585.5,,761.1,,354.2,,470.1,,123.3,,8037.3,,7.1,,9.3,,-2.4,,15.1,,-3.4,,-2.2,,35.5,,84.01170,,84.34375,,91.77338,,56.75836,,110.21474,,79.91633,,85.27380,
2007-05,1716.6,,1591.5,,767.9,,357.0,,466.6,,125.1,,8130.3,,7.6,,5.9,,6.7,,2.7,,-3.5,,1.7,,86.2,,84.38574,,84.65639,,92.57694,,57.19745,,109.38788,,81.03812,,86.18792,
2007-06,1743.0,,1613.0,,775.5,,373.9,,463.5,,130.1,,8205.0,,25.2,,21.5,,7.7,,16.9,,-3.1,,3.7,,72.8,,85.62449,,85.80152,,93.50266,,59.91214,,108.66261,,83.41628,,86.95949,
2007-07,1758.7,,1624.7,,786.1,,380.2,,458.5,,133.9,,8289.8,,15.2,,11.9,,10.7,,6.3,,-5.0,,3.2,,87.5,,86.36981,,86.43656,,94.78697,,60.92236,,107.48588,,85.49062,,87.88729,
2007-08,1768.1,,1639.6,,780.8,,403.3,,455.5,,128.6,,8342.4,,11.1,,14.6,,-5.4,,23.0,,-3.0,,-3.5,,54.7,,86.91519,,87.21516,,94.13884,,64.61292,,106.77817,,83.23738,,88.46759,
2007-09,1792.0,,1662.9,,788.7,,421.7,,452.5,,129.1,,8419.0,,25.0,,24.2,,8.3,,18.9,,-2.9,,0.8,,87.3,,88.14227,,88.50294,,95.13966,,67.63361,,106.08758,,83.72547,,89.39317,
2007-10,1787.1,,1662.3,,777.7,,436.1,,448.5,,124.8,,8539.9,,-2.7,,-0.4,,-10.7,,14.3,,-4.0,,-2.3,,100.9,,88.00952,,88.48058,,93.84659,,69.93468,,105.13849,,82.24724,,90.46317,
2007-11,1821.5,,1685.9,,789.7,,450.3,,445.8,,135.6,,8625.9,,34.1,,23.6,,12.2,,14.0,,-2.7,,10.5,,89.3,,89.68890,,89.73429,,95.32050,,72.17930,,104.51585,,89.19671,,91.40900,
2007-12,1849.3,,1718.4,,785.8,,486.6,,445.9,,130.9,,8650.0,,27.7,,32.3,,-4.1,,36.3,,0.1,,-4.7,,35.6,,91.05073,,91.45469,,94.82725,,77.99771,,104.54035,,86.12758,,91.78670,
2008-01,1870.5,,1726.9,,790.7,,495.2,,441.0,,143.6,,8795.8,,20.1,,7.2,,4.4,,7.8,,-5.0,,12.9,,81.2,,92.04137,,91.83874,,95.35270,,79.25048,,103.37909,,94.61893,,92.64779,
2008-02,1890.4,,1746.7,,788.6,,520.2,,437.9,,143.7,,8846.5,,20.5,,20.3,,-1.8,,25.2,,-3.1,,0.2,,56.3,,93.05095,,92.91845,,95.13815,,83.27714,,102.65791,,94.76057,,93.24059,
2008-03,1896.7,,1757.9,,798.3,,522.7,,436.9,,138.7,,8868.4,,7.5,,12.2,,10.2,,2.9,,-1.0,,-4.6,,25.5,,93.42244,,93.56627,,96.37134,,83.74458,,102.43174,,91.70626,,93.50950,
2008-04,1911.0,,1764.1,,785.1,,544.0,,435.0,,147.0,,8945.9,,14.2,,6.0,,-13.3,,21.3,,-1.9,,8.2,,76.3,,94.12267,,93.88727,,94.76480,,87.15137,,101.98025,,97.11720,,94.31416,
2008-05,1922.1,,1778.9,,788.4,,556.9,,433.6,,143.2,,9016.6,,8.1,,12.9,,1.4,,13.0,,-1.4,,-4.9,,68.1,,94.51994,,94.57512,,94.93071,,89.22660,,101.65106,,93.90664,,95.03155,
2008-06,1931.2,,1785.1,,794.6,,557.9,,432.6,,146.0,,9039.5,,9.6,,6.6,,6.4,,1.2,,-1.0,,3.0,,30.0,,94.99345,,94.92765,,95.70678,,89.42355,,101.40639,,95.87272,,95.34702,
2008-07,1942.1,,1796.8,,779.2,,589.6,,428.1,,145.3,,9107.7,,10.9,,11.6,,-15.5,,31.6,,-4.5,,-0.8,,63.1,,95.52730,,95.54626,,93.83799,,94.49593,,100.35164,,95.36068,,96.01264,
2008-08,1951.3,,1807.8,,783.1,,599.0,,425.7,,143.5,,9142.8,,7.0,,9.3,,3.1,,8.5,,-2.3,,-2.3,,23.9,,95.87018,,96.04030,,94.20788,,95.86428,,99.80856,,93.83801,,96.26459,
2008-09,1969.0,,1821.8,,795.9,,602.7,,423.1,,147.2,,9222.3,,15.9,,12.6,,12.1,,3.0,,-2.6,,3.3,,70.4,,96.65132,,96.70823,,95.66796,,96.35106,,99.19745,,96.01340,,97.00545,
2008-10,2012.2,,1866.0,,826.0,,617.7,,422.3,,146.2,,9370.0,,38.0,,39.9,,27.8,,12.9,,-0.8,,-1.9,,118.8,,98.51475,,98.82476,,99.00491,,98.41478,,99.01009,,94.76825,,98.25433,
2008-11,2031.9,,1870.7,,817.8,,630.5,,422.5,,161.2,,9385.5,,23.9,,7.0,,-8.1,,15.0,,0.1,,16.9,,19.7,,99.68516,,99.19787,,98.03120,,100.81214,,99.03878,,105.69981,,98.46077,
2008-12,2023.5,,1861.8,,828.7,,608.2,,425.0,,161.6,,9402.2,,-4.6,,-5.8,,12.2,,-20.5,,2.5,,1.2,,35.7,,99.46071,,98.89122,,99.49908,,97.53029,,99.62373,,106.49191,,98.83647,
2009-01,2043.4,,1894.9,,889.8,,576.7,,428.4,,148.6,,9407.3,,17.2,,31.0,,60.1,,-32.4,,3.4,,-13.8,,-59.7,,100.30856,,100.53964,,106.70932,,92.32804,,100.42720,,97.40979,,98.21071,
2009-02,2056.4,,1901.3,,909.7,,559.2,,432.4,,155.1,,9441.8,,13.2,,6.4,,19.8,,-17.5,,4.1,,6.8,,35.9,,100.95519,,100.87932,,109.08748,,89.52950,,101.37671,,101.84970,,98.58560,
2009-03,2034.8,,1885.8,,908.8,,541.0,,436.0,,149.0,,9403.9,,-20.1,,-14.4,,-0.1,,-17.9,,3.6,,-5.7,,-27.6,,99.97054,,100.11652,,109.07617,,86.66676,,102.22031,,98.11923,,98.29755,
2009-04,2053.9,,1896.7,,924.0,,533.3,,439.3,,157.2,,9453.1,,19.1,,10.9,,31.9,,-24.9,,4.0,,8.2,,50.4,,100.90867,,100.69656,,112.90188,,82.67379,,103.15313,,103.49888,,98.82402,
2009-05,2041.3,,1882.7,,926.0,,514.3,,442.5,,158.5,,9420.9,,-11.1,,-12.9,,2.5,,-18.5,,3.1,,1.8,,-11.4,,100.36578,,100.01376,,113.20602,,79.80825,,103.88906,,104.69097,,98.70648,
2009-06,2024.8,,1875.2,,944.2,,483.6,,447.4,,149.7,,9422.0,,-15.7,,-7.3,,18.5,,-30.7,,4.9,,-8.4,,8.8,,99.59438,,99.62492,,115.46779,,75.04259,,105.03724,,99.16434,,98.79895,
2009-07,2010.0,,1867.6,,953.5,,461.6,,452.4,,142.4,,9431.4,,-14.8,,-7.6,,9.3,,-21.9,,5.1,,-7.2,,8.3,,98.86794,,99.22326,,116.60342,,71.64298,,106.22538,,94.38761,,98.88628,
2009-08,1993.9,,1865.0,,967.8,,439.4,,457.8,,128.9,,9385.7,,-15.8,,-2.3,,14.4,,-22.1,,5.4,,-13.5,,-44.2,,98.09121,,99.09952,,118.36565,,68.20673,,107.49389,,85.46716,,98.42231,
2009-09,2000.7,,1861.3,,983.4,,416.1,,461.8,,139.4,,9410.6,,7.5,,-3.1,,16.1,,-23.0,,3.9,,10.6,,33.8,,98.46126,,98.93602,,120.32878,,64.62930,,108.41399,,92.49347,,98.77615,
2009-10,1998.8,,1861.2,,1009.4,,385.3,,466.5,,137.6,,9385.7,,-1.3,,0.3,,26.1,,-30.5,,4.7,,-1.7,,-22.9,,98.39527,,98.95345,,123.52198,,59.89266,,109.52422,,91.38570,,98.53565,
2009-11,1991.1,,1856.4,,1014.1,,371.7,,470.6,,134.7,,9356.3,,-7.3,,-4.5,,4.9,,-13.5,,4.1,,-2.8,,-28.2,,98.03409,,98.71282,,124.11642,,57.79317,,110.49226,,89.51899,,98.23986,
2009-12,1987.9,,1850.8,,1011.2,,365.0,,474.7,,137.1,,9347.0,,-4.3,,-6.5,,-3.5,,-7.0,,4.1,,2.1,,29.4,,97.82031,,98.36884,,123.68671,,56.70052,,111.44780,,90.93223,,98.53169,
2010-01,1993.3,,1869.1,,1043.9,,346.4,,478.8,,124.1,,9332.4,,4.3,,17.6,,32.2,,-18.8,,4.2,,-13.3,,-19.2,,98.03205,,99.30235,,127.62328,,53.78108,,112.42737,,82.13687,,98.32924,
2010-02,2006.6,,1872.9,,1047.6,,342.2,,483.2,,133.7,,9330.6,,8.3,,-1.2,,3.3,,-8.8,,4.3,,9.5,,-10.7,,98.43844,,99.23907,,128.02386,,52.41464,,113.44458,,88.39325,,98.21607,
2010-03,1995.1,,1864.1,,1035.2,,342.8,,486.1,,131.0,,9330.1,,-12.1,,-8.9,,-12.4,,0.6,,3.0,,-3.2,,-2.2,,97.84295,,98.76670,,126.50509,,52.50041,,114.13784,,86.26206,,98.19280,
2010-04,2030.3,,1883.9,,1074.9,,319.8,,489.2,,146.4,,9375.7,,33.7,,18.4,,39.5,,-24.2,,3.1,,15.3,,38.3,,99.49630,,99.73999,,131.32746,,48.79820,,114.86056,,96.36599,,98.59538,
2010-05,2042.1,,1891.4,,1086.1,,313.1,,492.2,,150.8,,9388.6,,9.3,,5.7,,9.9,,-7.2,,2.9,,3.6,,-3.0,,99.95073,,100.04071,,132.54010,,47.70138,,115.55139,,98.73059,,98.56355,
2010-06,1960.4,,1895.5,,1089.7,,311.6,,494.2,,64.9,,9234.7,,4.9,,3.7,,1.5,,0.1,,2.1,,1.2,,30.8,,100.20272,,100.23626,,132.72818,,47.71138,,116.04233,,100.68191,,98.89107,
2010-07,1957.9,,1899.9,,1093.9,,307.8,,498.3,,57.9,,9232.8,,-0.8,,5.7,,4.9,,-3.2,,4.0,,-6.5,,7.7,,100.15994,,100.53736,,133.32455,,47.21766,,116.98664,,90.54496,,98.97392,
2010-08,1964.2,,1907.6,,1096.8,,310.0,,500.7,,56.7,,9263.6,,5.3,,6.9,,2.6,,1.8,,2.5,,-1.5,,29.1,,100.43307,,100.90142,,133.64479,,47.49008,,117.56834,,88.13628,,99.28587,
2010-09,1972.5,,1912.0,,1093.3,,314.5,,504.2,,60.5,,9270.2,,10.7,,6.1,,-2.3,,4.8,,3.5,,4.6,,19.5,,100.97915,,101.22186,,133.36715,,48.23081,,118.39040,,95.32340,,99.49486,
2010-10,1970.0,,1915.3,,1092.1,,315.8,,507.4,,54.7,,9273.1,,-2.0,,3.6,,-0.9,,1.4,,3.2,,-5.6,,6.1,,100.87564,,101.41186,,133.25419,,48.43796,,119.13326,,86.48567,,99.56052,
2010-11,1981.1,,1925.2,,1100.5,,314.3,,510.4,,55.9,,9291.5,,9.0,,8.4,,7.9,,-2.5,,3.0,,0.5,,5.7,,101.33480,,101.85876,,134.22377,,48.05665,,119.83315,,87.31828,,99.62218,
2010-12,1987.8,,1932.1,,1105.2,,314.1,,512.8,,55.7,,9294.6,,8.2,,8.2,,5.7,,-0.2,,2.8,,-0.1,,9.0,,101.75341,,102.29451,,134.92074,,48.02042,,120.48078,,87.23708,,99.71875,
2011-01,2004.2,,1952.1,,1122.2,,315.0,,514.9,,52.0,,9324.5,,17.2,,20.6,,17.8,,0.8,,2.0,,-3.5,,2.3,,102.63227,,103.38616,,137.09061,,48.14480,,120.95758,,81.83167,,99.74795,
2011-02,1996.0,,1946.7,,1109.4,,322.1,,515.3,,49.4,,9333.4,,-7.9,,-5.3,,-12.8,,7.1,,0.4,,-2.6,,5.4,,102.22838,,103.10674,,135.52837,,49.23291,,121.05011,,77.72530,,99.80610,
2011-03,2006.9,,1958.6,,1115.4,,325.8,,517.4,,48.3,,9340.6,,11.7,,12.6,,6.6,,3.8,,2.1,,-0.9,,15.1,,102.82720,,103.77320,,136.33667,,49.81662,,121.55470,,76.32199,,99.96792,
2011-04,2022.9,,1974.4,,1119.2,,336.9,,518.3,,48.4,,9349.2,,14.5,,14.1,,5.2,,8.9,,0.0,,0.4,,9.3,,103.57166,,104.52192,,136.97573,,51.18346,,121.54666,,76.95184,,100.06579,
2011-05,2027.1,,1981.6,,1118.7,,345.8,,517.1,,45.5,,9369.1,,3.0,,6.2,,-1.2,,8.7,,-1.2,,-3.3,,-2.4,,103.72440,,104.85199,,136.82330,,52.49917,,121.26988,,71.78293,,100.03951,
2011-06,2039.0,,1990.7,,1127.2,,346.9,,516.6,,48.3,,9380.2,,12.3,,9.5,,8.8,,1.2,,-0.5,,2.9,,8.8,,104.35623,,105.35439,,137.89869,,52.68323,,121.15024,,76.28703,,100.13368,
2011-07,2049.2,,2002.9,,1128.7,,358.5,,515.7,,46.3,,9392.4,,8.8,,11.3,,0.8,,11.4,,-0.9,,-2.5,,9.9,,104.80432,,105.94988,,137.99323,,54.40920,,120.94254,,72.33932,,100.23916,
2011-08,2067.2,,2019.0,,1141.2,,363.0,,514.9,,48.2,,9460.1,,17.5,,15.4,,12.2,,4.0,,-0.8,,2.1,,69.4,,105.69730,,106.76362,,139.48876,,55.01368,,120.74722,,75.58248,,100.98003,
2011-09,2084.9,,2040.0,,1147.1,,378.3,,514.6,,44.9,,9489.8,,15.0,,18.9,,3.9,,15.2,,-0.3,,-3.9,,19.7,,106.46339,,107.76212,,139.96926,,57.31912,,120.68648,,69.46193,,101.19095,
2011-10,2080.9,,2043.1,,1151.5,,376.8,,514.7,,37.9,,9459.0,,-2.4,,4.4,,5.5,,-1.2,,0.1,,-6.7,,-22.3,,106.34277,,107.99366,,140.64142,,57.13395,,120.70903,,59.03112,,100.95284,
2011-11,2095.0,,2053.1,,1156.0,,381.4,,515.8,,41.9,,9477.1,,11.2,,7.6,,2.9,,4.3,,0.4,,3.6,,9.8,,106.91309,,108.39480,,140.99326,,57.78293,,120.80903,,64.59856,,101.05740,
2011-12,2105.3,,2064.6,,1170.8,,377.9,,515.9,,40.8,,9497.2,,8.8,,10.3,,13.9,,-3.8,,0.2,,-1.5,,24.1,,107.36351,,108.94028,,142.69253,,57.21480,,120.84445,,62.27422,,101.31063,
2012-01,2114.2,,2075.9,,1173.4,,385.0,,517.5,,38.3,,9510.3,,9.0,,11.8,,3.0,,7.2,,1.6,,-2.8,,33.6,,107.82313,,109.56399,,143.05801,,58.30328,,121.22667,,57.98634,,101.66704,
2012-02,2122.5,,2083.1,,1181.3,,382.9,,518.9,,39.4,,9539.0,,13.6,,12.4,,12.0,,-2.0,,2.4,,1.3,,43.8,,108.51911,,110.21750,,144.51839,,58.00795,,121.77770,,59.89926,,102.13501,
2012-03,2133.3,,2096.6,,1194.8,,381.2,,520.6,,36.8,,9606.1,,10.6,,13.3,,13.3,,-1.7,,1.7,,-2.6,,68.2,,109.06312,,110.92057,,146.14696,,57.74640,,122.17715,,55.87017,,102.86514,
2012-04,2144.2,,2109.5,,1202.5,,386.3,,520.7,,34.7,,9576.6,,6.8,,10.2,,7.6,,2.5,,0.1,,-3.4,,-29.5,,109.41060,,111.46079,,147.07847,,58.12554,,122.19915,,50.68305,,102.55005,
2012-05,2159.4,,2126.7,,1217.9,,386.9,,521.9,,32.7,,9626.4,,12.9,,15.5,,14.2,,0.1,,1.2,,-2.6,,37.6,,110.07114,,112.28028,,148.81431,,58.14498,,122.47794,,46.93140,,102.95225,
2012-06,2186.6,,2155.5,,1237.3,,395.1,,523.1,,31.1,,9653.6,,27.8,,29.3,,19.7,,8.3,,1.3,,-1.5,,25.9,,111.48903,,113.82643,,151.22302,,59.39350,,122.77488,,44.82366,,103.22882,
2012-07,2216.0,,2180.3,,1263.0,,392.8,,524.4,,35.7,,9704.8,,27.6,,23.2,,25.2,,-3.3,,1.3,,4.4,,48.0,,112.89642,,115.05222,,154.30286,,58.90494,,123.07151,,51.15473,,103.74189,
2012-08,2220.3,,2188.3,,1273.9,,388.7,,525.7,,32.0,,9693.8,,5.2,,8.7,,11.4,,-4.0,,1.3,,-3.5,,1.9,,113.16220,,115.51121,,155.69567,,58.30897,,123.37033,,46.17195,,103.76294,
2012-09,2231.8,,2199.6,,1294.6,,378.5,,526.6,,32.2,,9714.4,,12.3,,11.9,,21.5,,-10.5,,0.9,,0.4,,25.1,,113.78752,,116.13784,,158.31745,,56.73521,,123.58403,,46.74625,,104.03195,
2012-10,2274.3,,2241.0,,1344.4,,369.7,,526.9,,33.3,,9777.4,,42.8,,41.6,,50.0,,-8.7,,0.3,,1.2,,64.9,,115.96778,,118.33326,,164.43078,,55.42686,,123.65908,,48.46286,,104.72679,
2012-11,2275.6,,2242.0,,1351.9,,362.3,,527.8,,33.6,,9780.0,,1.4,,1.0,,7.5,,-7.4,,0.9,,0.3,,5.7,,116.03743,,118.38749,,165.35296,,54.32230,,123.85934,,48.95593,,104.78812,
2012-12,2255.6,,2222.4,,1363.0,,330.2,,529.3,,33.1,,9788.3,,-19.3,,-19.1,,11.4,,-32.0,,1.5,,-0.3,,16.1,,115.05131,,117.37966,,166.75260,,49.52096,,124.21031,,48.58776,,104.96195,
2013-01,2247.1,,2217.7,,1362.2,,325.7,,529.8,,29.4,,9766.5,,-7.3,,-4.0,,-0.1,,-4.5,,0.6,,-3.3,,13.9,,114.68033,,117.17083,,166.74186,,48.85295,,124.34807,,43.72107,,105.10941,
2013-02,2246.8,,2215.7,,1367.2,,318.7,,529.9,,31.0,,9783.2,,-1.4,,-2.7,,4.4,,-7.2,,0.0,,1.3,,9.8,,114.60842,,117.02574,,167.27805,,47.77950,,124.35483,,45.70684,,105.21543,
2013-03,2245.6,,2214.7,,1364.0,,321.0,,529.7,,30.9,,9803.8,,-1.6,,-2.1,,-4.0,,2.1,,-0.2,,0.5,,16.5,,114.52803,,116.91467,,166.78607,,48.09568,,124.30988,,46.48373,,105.39268,
2013-04,2274.5,,2240.2,,1389.5,,320.4,,530.3,,34.4,,9823.5,,29.7,,26.1,,26.3,,-0.8,,0.6,,3.6,,28.4,,116.04077,,118.29247,,170.00044,,47.97282,,124.45793,,51.83469,,105.69838,
