実質暦年,,,,,,,,,,,,,,,,,,,,,,,,(単位:2015暦年連鎖価格、10億円)
"Real, Calendar Year",,,,,,,,,,,,,,,,,,,,,,,,(Billions of Chained (2015) Yen)
,家計最終消費支出（再掲）,,,,,,,,,形態別総固定資本形成,,,,,総資本形成,,,財貨・サービス,,,,,,
2002/1-12.,"271,151.3 ","4,304.7 ",287.1 ,"267,923.6 ","11,825.4 ","16,603.4 ","86,278.8 ","158,528.9 ",,"26,181.5 ","51,645.2 ","6,435.6 ","28,037.3 ","26,224.2 ","135,090.2 ","-1,869.3 ",,"-11,643.1 ","52,674.0 ","44,515.1 ","8,162.2 ","64,317.1 ","48,246.5 ","15,336.7 "
2003/1-12.,"272,631.2 ","4,241.8 ",670.8 ,"269,792.0 ","13,066.0 ","15,790.1 ","85,610.4 ","159,304.4 ",,"25,946.1 ","48,684.0 ","6,960.1 ","28,960.6 ","26,653.8 ","135,793.1 ",-197.9 ,,"-8,754.0 ","57,746.0 ","48,661.9 ","9,104.1 ","66,500.0 ","51,681.9 ","14,302.9 "
2004/1-12.,"276,185.5 ","5,196.7 ",835.3 ,"272,884.8 ","13,981.4 ","15,139.0 ","86,134.5 ","160,895.9 ",,"26,617.3 ","45,724.2 ","7,123.8 ","30,683.2 ","26,992.2 ","138,212.7 ","1,935.7 ",,"-6,110.6 ","66,044.6 ","55,622.8 ","10,447.8 ","72,155.2 ","56,002.8 ","15,581.5 "
2005/1-12.,"280,395.7 ","4,732.3 ",962.3 ,"277,497.1 ","14,828.7 ","15,343.1 ","85,489.0 ","164,427.4 ",,"26,473.0 ","44,723.9 ","7,648.2 ","33,956.5 ","27,909.7 ","141,241.8 ",887.5 ,,"-5,698.8 ","70,746.8 ","59,946.9 ","10,796.7 ","76,445.5 ","60,377.4 ","15,628.9 "
2006/1-12.,"282,902.0 ","3,222.3 ",730.1 ,"280,817.3 ","15,332.7 ","15,957.0 ","84,119.2 ","167,538.9 ",,"26,496.8 ","43,162.2 ","7,646.7 ","35,407.1 ","28,340.2 ","141,155.4 ",236.3 ,,"-2,003.6 ","78,038.0 ","66,386.6 ","11,628.4 ","80,041.6 ","64,016.5 ","15,651.4 "
2007/1-12.,"285,181.9 ","3,008.1 ",835.3 ,"283,356.6 ","15,841.1 ","15,900.0 ","83,046.5 ","170,314.5 ",,"23,968.8 ","40,400.8 ","7,391.9 ","36,876.5 ","28,945.7 ","139,912.0 ","1,981.2 ",,"2,970.5 ","84,829.7 ","72,195.1 ","12,607.4 ","81,859.2 ","64,942.3 ","16,501.9 "
2008/1-12.,"281,947.4 ","2,950.7 ",853.1 ,"280,188.0 ","16,812.9 ","15,543.6 ","81,880.1 ","167,127.7 ",,"22,461.1 ","37,642.5 ","7,066.9 ","36,104.4 ","28,926.5 ","135,851.6 ","3,129.4 ",,"3,717.7 ","86,176.7 ","73,319.5 ","12,830.8 ","82,459.1 ","65,877.0 ","16,194.0 "
2009/1-12.,"279,146.1 ","2,688.3 ",819.1 ,"277,558.4 ","17,104.6 ","15,005.9 ","81,028.0 ","165,405.2 ",,"18,599.6 ","37,100.7 ","5,758.0 ","29,753.8 ","27,687.3 ","114,160.9 ","-4,756.8 ",,"-3,602.0 ","66,026.2 ","54,595.2 ","11,436.7 ","69,628.2 ","54,627.1 ","14,690.2 "
2010/1-12.,"285,521.0 ","2,990.0 ","1,014.2 ","283,901.2 ","20,772.0 ","14,472.1 ","83,069.1 ","165,730.9 ",,"18,325.9 ","35,622.6 ","6,323.9 ","29,962.4 ","27,072.2 ","117,480.9 ",20.8 ,,"4,954.7 ","82,440.8 ","70,049.6 ","12,332.7 ","77,486.1 ","61,995.2 ","15,253.0 "
2011/1-12.,"283,422.3 ","2,825.4 ",710.1 ,"281,623.9 ","20,648.5 ","14,585.8 ","81,161.5 ","165,271.4 ",,"19,514.7 ","36,256.4 ","5,919.9 ","31,475.2 ","26,797.4 ","121,067.2 ",975.3 ,,417.7 ,"82,342.2 ","70,076.3 ","12,204.3 ","81,924.5 ","66,446.6 ","15,244.3 "
2012/1-12.,"288,872.5 ","2,951.7 ",964.7 ,"287,225.0 ","21,878.3 ","14,683.7 ","82,742.2 ","167,929.8 ",,"19,935.0 ","35,922.3 ","7,205.6 ","32,958.8 ","27,282.2 ","124,659.6 ","1,218.6 ",,"-3,929.7 ","82,462.2 ","70,472.7 ","11,915.7 ","86,392.0 ","69,659.5 ","16,520.1 "
2013/1-12.,"296,451.7 ","2,186.0 ","1,260.1 ","295,595.1 ","23,340.0 ","16,664.9 ","84,081.3 ","171,541.7 ",,"21,664.6 ","38,608.9 ","7,103.7 ","32,918.9 ","28,093.7 ","127,770.2 ",-666.5 ,,"-5,999.2 ","83,130.6 ","69,970.5 ","13,116.2 ","89,129.8 ","71,985.5 ","16,911.9 "
2014/1-12.,"294,139.2 ","1,851.9 ","1,736.4 ","294,040.7 ","23,483.6 ","17,008.2 ","81,750.1 ","171,802.6 ",,"21,160.2 ","38,551.7 ","7,607.7 ","34,934.3 ","28,976.8 ","131,098.1 ",-221.7 ,,"-5,475.1 ","90,896.5 ","74,442.5 ","16,447.4 ","96,371.5 ","76,661.2 ","19,609.3 "
2015/1-12.,"293,207.4 ","1,633.6 ","2,718.4 ","294,292.3 ","21,681.6 ","17,507.8 ","81,675.3 ","173,427.6 ",,"21,105.3 ","39,225.3 ","7,786.8 ","36,215.8 ","30,021.3 ","135,446.6 ","1,054.2 ",,"-2,980.1 ","93,815.4 ","75,274.2 ","18,541.2 ","96,795.5 ","76,160.4 ","20,635.1 "
2016/1-12.,"291,451.5 ","1,905.0 ","3,055.3 ","292,601.7 ","21,892.0 ","15,911.0 ","81,383.8 ","173,414.9 ",,"21,902.6 ","41,155.0 ","7,689.3 ","35,452.4 ","29,691.0 ","136,423.5 ",511.0 ,,-324.2 ,"95,333.6 ","75,581.8 ","19,751.8 ","95,657.8 ","74,857.4 ","20,800.4 "
2017/1-12.,"294,444.5 ","1,833.5 ","3,507.1 ","296,108.9 ","23,062.7 ","16,301.8 ","81,745.9 ","174,999.0 ",,"21,862.7 ","41,643.5 ","8,001.6 ","37,126.4 ","29,455.1 ","139,303.1 ","1,243.9 ",,"2,822.8 ","101,643.8 ","80,678.1 ","20,967.1 ","98,821.0 ","77,441.2 ","21,389.8 "
2018/1-12.,"295,703.3 ","1,908.5 ","4,194.6 ","297,986.7 ","23,428.4 ","16,782.6 ","81,287.0 ","176,497.7 ",,"20,457.4 ","41,987.2 ","8,101.0 ","38,623.0 ","29,501.3 ","140,631.7 ","2,077.3 ",,"2,875.6 ","105,465.2 ","84,172.0 ","21,293.8 ","102,589.6 ","80,824.8 ","21,791.1 "
2019/1-12.,"293,775.3 ","2,092.3 ","4,470.8 ","296,160.9 ","23,422.0 ","16,510.2 ","79,889.3 ","176,380.9 ",,"21,202.2 ","42,281.1 ","8,233.7 ","38,806.0 ","29,454.8 ","141,347.4 ","1,399.6 ",,323.6 ,"103,927.0 ","81,639.5 ","22,277.2 ","103,603.5 ","80,046.7 ","23,573.2 "
2020/1-12.,"276,535.4 ",566.3 ,"1,016.5 ","276,857.3 ","21,758.4 ","15,594.2 ","78,147.5 ","161,269.7 ",,"19,551.6 ","42,616.4 ","6,792.2 ","35,725.1 ","28,586.9 ","134,174.5 ",614.2 ,,"-4,518.9 ","91,661.9 ","74,664.5 ","17,108.5 ","96,180.8 ","74,790.9 ","21,428.7 "
＊財貨・サービスの純輸出は連鎖方式での計算ができないため、財貨・サービスの輸出－財貨・サービスの輸入により求めている。このため寄与度とは符号が一致しない場合がある。,,,,,,,,,,,,,,,,,,,,,,,,
